名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司
盐大路2497号,浦东惠南,盐大路2497号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
听潮七村,浦东惠南,听潮七村,0, 板楼, 356户, 32栋, 商品房/动迁安置房, 2008年 , 暂无信息, 上海彩虹房屋物业管理有限公司
农机大楼,浦东惠南,农机大楼,0, 板楼, 40户, 3栋, 商品房, 1986-1989年 , 0.44元/平米/月, 暂无信息
大川公路2661号,浦东惠南,"大川公路2661号, 西乐路263号",0, 未知类型, 1户, 1栋, 私产, 暂无信息 , 暂无信息, 暂无信息
民乐城泓瀚苑,浦东惠南,拱乐路2100弄,0, 未知类型, 237户, 11栋, 商品房/动迁安置房, 2018年 , 暂无信息, 暂无信息
广衍路51弄,浦东惠南,广衍路51弄,0, 板楼, 8户, 8栋, 商品房, 1980-1997年 , 暂无信息, 暂无信息
东园新村,浦东惠南,"惠南镇勤丰村, 靖海路164弄",0, 板楼, 18户, 2栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
卫星东路11弄,浦东惠南,卫星东路11弄,0, 板楼, 21户, 3栋, 商品房, 1999年 , 暂无信息, 暂无信息
文化路,浦东惠南,文化路32弄,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
工农南路220弄,浦东惠南,工农南路220弄,0, 未知类型, 8户, 1栋, 商品房, 1999年 , 暂无信息, 暂无信息
城基路179号,浦东惠南,城基路179号,0, 板楼, 12户, 1栋, 商品房/使用权, 1995年 , 暂无信息, 暂无信息
西门路49号,浦东惠南,西门路49号,0, 板楼, 36户, 1栋, 商品房, 2000年 , 暂无信息, 暂无信息
东门大街420弄,浦东惠南,东门大街420弄,0, 未知类型, 5户, 2栋, 商品房, 1999年 , 暂无信息, 暂无信息
供佳花苑,浦东惠南,"供佳花苑, （城东路282弄）",28167, 板楼, 38户, 6栋, 商品房/使用权, 2002年 , 0.36元/平米/月, 暂无信息
东门路,浦东惠南,东门路485号,0, 未知类型, 1户, 1栋, 商品房, 1994年 , 暂无信息, 暂无信息
都汇公馆,浦东惠南,城东路733号,0, 板楼, 110户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
民乐城建欣苑东苑,浦东惠南,民乐城建欣苑东苑,26022, 板楼, 1316户, 17栋, 商品房/经济适用房/动迁安置房, 2017-2020年 , 1.2至2元/平米/月, 暂无信息
东门大街198号,浦东惠南,东门大街198号,0, 未知类型, 6户, 1栋, 商品房, 1995年 , 暂无信息, 暂无信息
华实佳苑,浦东惠南,上海市浦东新区惠南镇观海路1036号,0, 未知类型, 1368户, 19栋, 动迁安置房, 暂无信息 , 暂无信息, 暂无信息
南园路165弄,浦东惠南,上海市浦东新区南园路165弄11号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
民乐城建欣苑西苑,浦东惠南,拱极路4100弄1-41号,28824, 板楼, 873户, 15栋, 商品房/动迁安置房, 2020年 , 2元/平米/月, 暂无信息
民乐城秀园北园,浦东惠南,通济路1279弄7号802室,25879, 未知类型, 216户, 3栋, 商品房, 2017年 , 暂无信息, 暂无信息
通济路21弄,浦东惠南,通济路21弄,0, 未知类型, 2户, 2栋, 商品房, 1999年 , 暂无信息, 暂无信息
惠东路543号,浦东惠南,惠东路543号,0, 未知类型, 10户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
广衍路五十二弄,浦东惠南,广衍路52弄2号,0, 未知类型, 2户, 2栋, 商品房, 1997年 , 暂无信息, 暂无信息
川南奉公路4893弄,浦东惠南,川南奉公路4893弄,0, 板楼, 84户, 13栋, 使用权, 1996年 , 暂无信息, 暂无信息
惠康苑,浦东惠南,拱海路79弄,25387, 塔楼/板楼, 3181户, 39栋, 商品房/动迁安置房/使用权, 2010-2014年 , 1.17至1.2元/平米/月, 上海佳信物业管理有限公司
西门新村,浦东惠南,西门新村,22447, 板楼, 296户, 21栋, 商品房/经济适用房/使用权, 1973-2001年 , 0.44至0.5元/平米/月, 上海南汇惠房物业管理有限公司
艺泰一品花园,浦东惠南,人民西路1533弄,36190, 板楼, 540户, 45栋, 商品房/使用权, 2014-2015年 , 3元/平米/月, 浙江杭州开元物业
泰燕华庭,浦东惠南,听潮南路77弄,26970, 板楼, 500户, 44栋, 商品房, 2005年 , 0.75元/平米/月, 泰燕物业公司
南园坊,浦东惠南,"南园路237弄, 南园路327弄, 南园路287弄",24762, 板楼, 552户, 112栋, 商品房/经济适用房/动迁安置房, 2004年 , 0.8元/平米/月, 上海南汇惠房物业管理有限公司
人生港湾南欧城,浦东惠南,城南路918弄,31145, 板楼, 1120户, 47栋, 商品房/动迁安置房/使用权, 2009-2015年 , 1.55至2.88元/平米/月, 深圳市开元国际物业管理有限公司
东城靖海苑（南苑）,浦东惠南,靖海路239弄,30266, 板楼, 144户, 17栋, 商品房, 2005年 , 1.1元/平米/月, 上海南汇惠房物业管理有限公司
新凤凰城,浦东惠南,"拱极路2626弄, 拱极路2668号",32853, 板楼, 575户, 29栋, 商品房, 2006年 , 1.22至4.5元/平米/月, 上海鑫源物业公司
惠益新苑,浦东惠南,听悦路960弄,25330, 塔楼/板楼, 1287户, 17栋, 商品房/动迁安置房, 2014年 , 0.8至1.2元/平米/月, 上海硕雅物业管理有限公司
北门新村,浦东惠南,人民东路3348弄,23937, 板楼, 241户, 19栋, 商品房/使用权, 1975-1994年 , 0.44元/平米/月, 上海南汇惠房物业管理有限公司
民乐城丽园(北园),浦东惠南,听悦路1205弄,26111, 板楼, 886户, 40栋, 商品房/动迁安置房, 2014年 , 0.8至1.17元/平米/月, 上海彩虹房屋物业管理有限公司
吉园坊,浦东惠南,宣黄公路2588弄,21874, 板楼, 1524户, 45栋, 商品房/动迁安置房/使用权, 2008年 , 0.3元/平米/月, 暂无信息
太阳谷别墅,浦东惠南,拱极东路3136弄,0, 板楼, 24户, 24栋, 商品房/使用权, 2011年 , 3元/平米/月, 元生元置业
听潮一村,浦东惠南,听潮一村,25599, 板楼, 839户, 55栋, 商品房/动迁安置房, 1987-1991年 , 0.9元/平米/月, 上海南汇惠房物业管理有限公司
康达公寓,浦东惠南,"城东路759弄31支弄, 城东路789弄",27265, 板楼, 368户, 23栋, 商品房, 2006-2010年 , 0.72元/平米/月, 上海南汇惠房物业管理有限公司
成功家园(别墅),浦东惠南,人民西路1559弄,0, 板楼, 36户, 35栋, 商品房/使用权, 2006年 , 暂无信息, 暂无信息
德盈佳园,浦东惠南,"盐大路2585弄, 盐大路2537号, 盐大路2559号",21751, 板楼, 1431户, 99栋, 商品房/动迁安置房, 2008年 , 0.52至1.7元/平米/月, 上海联讯物业管理有限公司
富成别墅,浦东惠南,南园路99弄,41787, 板楼, 100户, 100栋, 商品房/使用权, 2000-2003年 , 2元/平米/月, 中房物业
中汇花园(南汇),浦东惠南,"城南路48弄, 中汇花园",24349, 板楼, 302户, 46栋, 商品房/使用权, 1995-2005年 , 0.5至5元/平米/月, 泰燕物业公司
皇宫半岛,浦东惠南,城南路1385弄,47230, 板楼, 225户, 135栋, 商品房/使用权, 2004-2007年 , 0.4至0.8元/平米/月, 上海佳安物业管理有限责任
金地城三期御领,浦东惠南,靖海路547弄,36806, 板楼, 456户, 17栋, 商品房, 2013-2016年 , 1.6至2.3元/平米/月, 暂无信息
文化新村(惠南),浦东惠南,文化新村,25214, 塔楼/板楼, 212户, 21栋, 商品房/使用权, 1982-1995年 , 0.6元/平米/月, 上海图锦物业有限公司
惠北新村,浦东惠南,惠北新村,26504, 板楼, 193户, 15栋, 商品房/使用权, 1982-1984年 , 0.5元/平米/月, 上海南汇惠房物业管理有限公司
乐源城,浦东惠南,人民东路2635弄57支弄,29447, 板楼, 240户, 26栋, 商品房/动迁安置房/使用权, 2006年 , 0.5至1.5元/平米/月, 自主物业
汇通新村,浦东惠南,汇通新村,27654, 板楼, 153户, 15栋, 商品房/使用权, 1994-1999年 , 0.25元/平米/月, 上海南汇惠房物业管理有限公司
振兴新村,浦东惠南,振兴新村,22653, 板楼, 74户, 7栋, 商品房/使用权, 1985-1988年 , 0.3至0.6元/平米/月, 自主物业
彩虹新村,浦东惠南,彩虹新村,23026, 板楼, 222户, 19栋, 商品房/使用权, 1997-1999年 , 0.36元/平米/月, 上海彩虹房屋物业管理有限公司
浦东颐景园,浦东惠南,拱泰路29弄,40888, 板楼, 1250户, 19栋, 商品房/使用权, 2016-2017年 , 2.6至2.8元/平米/月, 上海颐景园物业管理有限公司
昌乐公寓,浦东惠南,亦园路75弄,18093, 板楼, 35户, 4栋, 商品房, 1998年 , 0.2元/平米/月, 上海宣桥物业管理有限公司
良丰新村,浦东惠南,惠东路243弄,21773, 板楼, 69户, 8栋, 商品房/动迁安置房, 1999年 , 0.3元/平米/月, 庆国物业
中洲珑悦,浦东惠南,丰海路500弄,37899, 板楼, 525户, 24栋, 商品房, 2013-2015年 , 2.8元/平米/月, 上海长城物业
福汇一村,浦东惠南,福汇新村,19285, 板楼, 372户, 59栋, 商品房/动迁安置房/使用权, 1994-2002年 , 0.5至0.8元/平米/月, 暂无信息
艺泰一品花园,浦东惠南,人民西路1533弄,36190, 板楼, 540户, 45栋, 商品房/使用权, 2014-2015年 , 3元/平米/月, 浙江杭州开元物业
泰燕华庭,浦东惠南,听潮南路77弄,26970, 板楼, 500户, 44栋, 商品房, 2005年 , 0.75元/平米/月, 泰燕物业公司
民乐城丽园(北园),浦东惠南,听悦路1205弄,26111, 板楼, 886户, 40栋, 商品房/动迁安置房, 2014年 , 0.8至1.17元/平米/月, 上海彩虹房屋物业管理有限公司
吉园坊,浦东惠南,宣黄公路2588弄,21874, 板楼, 1524户, 45栋, 商品房/动迁安置房/使用权, 2008年 , 0.3元/平米/月, 暂无信息
公园新村,浦东惠南,公园新村,21322, 板楼, 542户, 33栋, 商品房/动迁安置房/使用权, 1975-1994年 , 0.95元/平米/月, 上海南汇惠房物业管理有限公司
碧桂园天悦,浦东惠南,城南路555弄,29767, 板楼/塔板结合, 1212户, 33栋, 商品房, 2009-2019年 , 1.37元/平米/月, 鼎基物业
西北新村,浦东惠南,西北新村,25754, 板楼, 1025户, 70栋, 商品房/动迁安置房/使用权, 1980-2003年 , 0.6元/平米/月, 上海南汇惠房物业管理有限公司
听潮四村,浦东惠南,听潮四村,25340, 板楼, 796户, 68栋, 商品房, 1994-2001年 , 0.35至0.7元/平米/月, 中汇物业
听潮一村,浦东惠南,听潮一村,25599, 板楼, 839户, 55栋, 商品房/动迁安置房, 1987-1991年 , 0.9元/平米/月, 上海南汇惠房物业管理有限公司
新凤凰城,浦东惠南,"拱极路2626弄, 拱极路2668号",32853, 板楼, 575户, 29栋, 商品房, 2006年 , 1.22至4.5元/平米/月, 上海鑫源物业公司
海燕二村,浦东惠南,海燕二村,22464, 板楼, 294户, 30栋, 商品房/动迁安置房/使用权, 1994-1995年 , 0.1至0.5元/平米/月, 上海南汇惠房物业管理有限公司
鑫通公寓,浦东惠南,南门大街21弄,22131, 板楼, 490户, 43栋, 商品房/使用权, 1999-2003年 , 0.4至0.6元/平米/月, 鑫通物业
西南新村,浦东惠南,西南新村,22856, 板楼, 448户, 26栋, 商品房/动迁安置房/使用权, 1979-1982年 , 0.44元/平米/月, 上海南汇惠房物业管理有限公司
锦园坊,浦东惠南,南园路455弄,22740, 板楼, 428户, 24栋, 商品房/动迁安置房, 2007年 , 0.4至0.8元/平米/月, 自主物业
三八新村,浦东惠南,三八新村,27754, 板楼, 425户, 35栋, 商品房/动迁安置房/使用权, 1990-2003年 , 0.8元/平米/月, 自主物业
康敏苑,浦东惠南,"康锦路52弄,靖海南路488弄",29095, 板楼, 610户, 43栋, 商品房/使用权, 2007-2012年 , 0.8至1.2元/平米/月, 上海南汇惠房物业管理有限公司
惠康苑,浦东惠南,拱海路79弄,25387, 塔楼/板楼, 3181户, 39栋, 商品房/动迁安置房/使用权, 2010-2014年 , 1.17至1.2元/平米/月, 上海佳信物业管理有限公司
西门新村,浦东惠南,西门新村,22447, 板楼, 296户, 21栋, 商品房/经济适用房/使用权, 1973-2001年 , 0.44至0.5元/平米/月, 上海南汇惠房物业管理有限公司
成功家园(别墅),浦东惠南,人民西路1559弄,0, 板楼, 36户, 35栋, 商品房/使用权, 2006年 , 暂无信息, 暂无信息
博佳花园,浦东惠南,城南路41弄,26045, 板楼, 696户, 36栋, 商品房/使用权, 2004-2009年 , 0.65至2元/平米/月, 泰燕物业
爱盛家园,浦东惠南,"文师街69弄, 文益街39号, 文友街16弄",29286, 板楼/塔板结合, 868户, 32栋, 商品房/使用权, 2003-2009年 , 0.6至1.2元/平米/月, 上海南汇惠房物业管理有限公司
河浜公寓,浦东惠南,惠南城基路71弄,21828, 板楼, 52户, 8栋, 商品房/使用权, 1994-2003年 , 0.8元/平米/月, 暂无信息
水岸家园,浦东惠南,听潮路69弄,25671, 板楼, 220户, 22栋, 商品房, 2004年 , 0.7元/平米/月, 暂无资料
绿地峰汇,浦东惠南,城南路168弄,0, 塔楼/板楼, 983户, 4栋, 商品房/动迁安置房/使用权, 2010年 , 3.5元/平米/月, 暂无信息
东方听潮豪园,浦东惠南,"听潮南路48弄,听潮南路46弄",30439, 板楼, 1011户, 41栋, 商品房/动迁安置房, 2008-2010年 , 1.5元/平米/月, 自主物业
中汇花园(南汇),浦东惠南,"城南路48弄, 中汇花园",24349, 板楼, 302户, 46栋, 商品房/使用权, 1995-2005年 , 0.5至5元/平米/月, 泰燕物业公司
德盈佳园,浦东惠南,"盐大路2585弄, 盐大路2537号, 盐大路2559号",21751, 板楼, 1431户, 99栋, 商品房/动迁安置房, 2008年 , 0.52至1.7元/平米/月, 上海联讯物业管理有限公司
皇宫半岛,浦东惠南,城南路1385弄,47230, 板楼, 225户, 135栋, 商品房/使用权, 2004-2007年 , 0.4至0.8元/平米/月, 上海佳安物业管理有限责任
汇南村,浦东惠南,汇南村,25767, 板楼, 8户, 8栋, 商品房/使用权, 2019年 , 暂无信息, 暂无信息
东城花苑二村一区,浦东惠南,"东城花苑二村, 靖海路388弄2号",0, 板楼, 162户, 15栋, 商品房/使用权, 1996-1998年 , 0.6元/平米/月, 上海彩虹房屋物业管理有限公司
佳华楼,浦东惠南,川南奉公路6245弄,0, 板楼, 70户, 7栋, 商品房, 2002年 , 0.25元/平米/月, 五峰物业
惠益新苑南苑,浦东惠南,拱为路2600弄,27141, 塔楼/板楼, 453户, 8栋, 商品房/动迁安置房/使用权, 2014年 , 0.8至1.2元/平米/月, 中建物业
江南清漪园,浦东惠南,城南路303弄,26065, 板楼, 584户, 32栋, 商品房, 2004年 , 0.55至1.15元/平米/月, 万亚物业
博佳花园,浦东惠南,城南路41弄,26045, 板楼, 696户, 36栋, 商品房/使用权, 2004-2009年 , 0.65至2元/平米/月, 泰燕物业
爱盛家园,浦东惠南,"文师街69弄, 文益街39号, 文友街16弄",29286, 板楼/塔板结合, 868户, 32栋, 商品房/使用权, 2003-2009年 , 0.6至1.2元/平米/月, 上海南汇惠房物业管理有限公司
河浜公寓,浦东惠南,惠南城基路71弄,21828, 板楼, 52户, 8栋, 商品房/使用权, 1994-2003年 , 0.8元/平米/月, 暂无信息
水岸家园,浦东惠南,听潮路69弄,25671, 板楼, 220户, 22栋, 商品房, 2004年 , 0.7元/平米/月, 暂无资料
绿地峰汇,浦东惠南,城南路168弄,0, 塔楼/板楼, 983户, 4栋, 商品房/动迁安置房/使用权, 2010年 , 3.5元/平米/月, 暂无信息
东方听潮豪园,浦东惠南,"听潮南路48弄,听潮南路46弄",30439, 板楼, 1011户, 41栋, 商品房/动迁安置房, 2008-2010年 , 1.5元/平米/月, 自主物业
永乐小区,浦东惠南,城东路86弄17支弄1-2号,24947, 板楼, 96户, 2栋, 商品房/使用权, 2005年 , 暂无信息, 上海南汇惠房物业管理有限公司
上河商务园,浦东惠南,南芦公路193弄,0, 板楼, 94户, 76栋, 商品房/使用权, 2002-2015年 , 暂无信息, 暂无信息
繁新苑,浦东惠南,"沿河泾南路180弄, 东门大街73弄, 沿河泾南路181弄",23977, 板楼, 60户, 7栋, 商品房/使用权/私产, 2005年 , 0.3元/平米/月, 暂无信息
听潮五村,浦东惠南,西门路113弄,23447, 板楼, 1038户, 154栋, 商品房/使用权, 1993-2003年 , 0.5元/平米/月, 暂无信息
文益街7号,浦东惠南,文益街7号,0, 板楼, 631户, 1栋, 商品房, 2009年 , 1.6元/平米/月, 暂无信息
华观商住楼,浦东惠南,"三角街61弄, 三角街75弄, 三角街87弄",20497, 板楼, 80户, 10栋, 商品房/售后公房/使用权, 2004年 , 暂无信息, 暂无信息
中洲珑玺台,浦东惠南,拱北路111弄（四期）,0, 板楼, 237户, 6栋, 商品房/使用权, 暂无信息 , 3元/平米/月, 暂无信息
西乐路273弄,浦东惠南,西乐路273弄,0, 板楼, 26户, 3栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
南城苑,浦东惠南,福汇路62弄,0, 板楼, 45户, 9栋, 商品房, 2004年 , 0.6至0.8元/平米/月, 暂无信息
三八小区,浦东惠南,三八路94弄,0, 板楼, 48户, 4栋, 商品房/使用权, 2003年 , 暂无信息, 暂无信息
黄富新村,浦东惠南,海燕路98号,0, 板楼, 60户, 6栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
人民东路2729弄,浦东惠南,人民东路2729弄,19307, 板楼, 40户, 5栋, 商品房/动迁安置房, 2000-2002年 , 1.1元/平米/月, 自主物业
文师街53-55号,浦东惠南,文师街53-55号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
文良街58号,浦东惠南,文良街58号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
城东路759弄68号,浦东惠南,城东路759弄68号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
迎薰路1153号,浦东惠南,迎薰路1153号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
金罗湾,浦东惠南,东门大街76弄,22795, 板楼, 16户, 4栋, 商品房, 2003年 , 暂无信息, 暂无信息
物资大楼(浦东),浦东惠南,城东路62号,0, 板楼, 48户, 3栋, 商品房/使用权, 1994-1996年 , 暂无信息, 暂无信息
通济路61弄,浦东惠南,通济路61弄,0, 板楼, 1户, 1栋, 商品房, 1998年 , 0.6元/平米/月, 暂无信息
